player_id,firstname,lastname,points,tpm,tpa,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,fga,fgm,fta,ftm,fgp,ftp,tpp
243,Justin,Holiday,765.0,181.0,488.0,29.0,163.0,192.0,128.0,155.0,57.0,71.0,33.0,673.0,267.0,62.0,50.0,0.3967310549777117,0.8064516129032258,0.3709016393442623
246,Richaun,Holmes,504.0,2.0,5.0,101.0,240.0,341.0,54.0,134.0,20.0,58.0,44.0,328.0,212.0,102.0,78.0,0.6463414634146342,0.7647058823529411,0.4
247,Rodney,Hood,163.0,30.0,93.0,15.0,62.0,77.0,38.0,33.0,15.0,13.0,6.0,160.0,58.0,19.0,17.0,0.3625,0.8947368421052632,0.3225806451612903
249,Danuel,House Jr.,281.0,46.0,134.0,25.0,117.0,142.0,53.0,61.0,23.0,42.0,18.0,238.0,92.0,68.0,51.0,0.3865546218487395,0.75,0.34328358208955223
250,Dwight,Howard,413.0,8.0,16.0,131.0,251.0,382.0,39.0,132.0,36.0,52.0,40.0,246.0,149.0,163.0,107.0,0.6056910569105691,0.656441717791411,0.5
256,Andre,Iguodala,142.0,19.0,84.0,26.0,97.0,123.0,141.0,53.0,31.0,37.0,24.0,142.0,53.0,23.0,17.0,0.3732394366197183,0.7391304347826086,0.2261904761904762
260,Brandon,Ingram,1479.0,85.0,256.0,40.0,329.0,369.0,357.0,138.0,40.0,182.0,27.0,1150.0,539.0,383.0,316.0,0.46869565217391307,0.825065274151436,0.33203125
264,Reggie,Jackson,1339.0,179.0,540.0,41.0,250.0,291.0,376.0,167.0,58.0,182.0,16.0,1286.0,506.0,176.0,148.0,0.39346811819595645,0.8409090909090909,0.3314814814814815
265,LeBron,James,1694.0,157.0,452.0,62.0,401.0,463.0,359.0,125.0,79.0,205.0,60.0,1242.0,646.0,323.0,245.0,0.5201288244766505,0.7585139318885449,0.3473451327433628
276,Stanley,Johnson,333.0,36.0,112.0,35.0,130.0,165.0,83.0,117.0,43.0,37.0,14.0,263.0,121.0,76.0,55.0,0.4600760456273764,0.7236842105263158,0.32142857142857145
281,Damian,Jones,458.0,10.0,30.0,76.0,173.0,249.0,72.0,134.0,26.0,60.0,47.0,269.0,177.0,131.0,94.0,0.6579925650557621,0.7175572519083969,0.3333333333333333
283,Derrick,Jones Jr.,317.0,23.0,75.0,65.0,116.0,181.0,35.0,116.0,26.0,33.0,33.0,221.0,117.0,75.0,60.0,0.5294117647058824,0.8,0.30666666666666664
