player_id,firstname,lastname,points,minutes,fgm,fga,ftm,fta,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,fgp,ftp
208,Blake,Griffin,378.0,1026.0666666666666,139.0,328.0,58.0,80.0,42.0,157.0,1111.7,63.0,176.0,239.0,115.0,104.0,29.0,35.0,16.0,0.42378048780487804,0.725
215,Tim,Hardaway Jr.,631.0,1302.1666666666667,220.0,557.0,82.0,108.0,109.0,320.0,1464.1,15.0,151.0,166.0,100.0,75.0,38.0,34.0,8.0,0.39497307001795334,0.7592592592592593
216,James,Harden,1690.0,2980.383333333333,484.0,1180.0,541.0,618.0,181.0,540.0,2576.6,67.0,512.0,579.0,792.0,188.0,93.0,347.0,44.0,0.4101694915254237,0.8754045307443366
218,Montrezl,Harrell,996.0,1737.55,376.0,591.0,240.0,330.0,4.0,18.0,333.3,161.0,299.0,460.0,151.0,143.0,32.0,76.0,51.0,0.6362098138747885,0.7272727272727273
220,Gary,Harris,705.0,1806.4,252.0,581.0,83.0,95.0,118.0,312.0,2158.7,36.0,91.0,127.0,113.0,114.0,61.0,62.0,12.0,0.43373493975903615,0.8736842105263158
221,Joe,Harris,199.0,495.7,70.0,146.0,5.0,6.0,54.0,108.0,844.0,6.0,58.0,64.0,19.0,35.0,7.0,19.0,2.0,0.4794520547945205,0.8333333333333334
222,Tobias,Harris,1474.0,3033.0833333333335,579.0,1193.0,192.0,227.0,124.0,334.0,2974.5,88.0,503.0,591.0,291.0,199.0,61.0,135.0,53.0,0.4853310980720872,0.8458149779735683
225,Udonis,Haslem,33.0,96.63333333333333,14.0,35.0,4.0,5.0,1.0,5.0,100.0,4.0,25.0,29.0,7.0,16.0,1.0,6.0,3.0,0.4,0.8
227,Gordon,Hayward,785.0,1580.4166666666667,286.0,624.0,126.0,150.0,87.0,222.0,1989.5,40.0,187.0,227.0,179.0,87.0,47.0,83.0,22.0,0.4583333333333333,0.84
237,George,Hill,354.0,1385.8833333333332,124.0,295.0,64.0,71.0,42.0,144.0,1393.8,41.0,129.0,170.0,127.0,82.0,44.0,47.0,6.0,0.42033898305084744,0.9014084507042254
242,Jrue,Holiday,1491.0,2741.1833333333334,583.0,1217.0,165.0,213.0,160.0,407.0,3304.8,83.0,299.0,382.0,552.0,163.0,133.0,221.0,37.0,0.4790468364831553,0.7746478873239436
243,Justin,Holiday,765.0,2085.9666666666667,267.0,673.0,50.0,62.0,181.0,488.0,2902.0,29.0,163.0,192.0,128.0,155.0,57.0,71.0,33.0,0.3967310549777117,0.8064516129032258
246,Richaun,Holmes,504.0,1147.9833333333333,212.0,328.0,78.0,102.0,2.0,5.0,200.0,101.0,240.0,341.0,54.0,134.0,20.0,58.0,44.0,0.6463414634146342,0.7647058823529411
247,Rodney,Hood,163.0,719.0333333333333,58.0,160.0,17.0,19.0,30.0,93.0,1431.7,15.0,62.0,77.0,38.0,33.0,15.0,13.0,6.0,0.3625,0.8947368421052632
249,Danuel,House Jr.,281.0,894.5166666666667,92.0,238.0,51.0,68.0,46.0,134.0,1367.0,25.0,117.0,142.0,53.0,61.0,23.0,42.0,18.0,0.3865546218487395,0.75
250,Dwight,Howard,413.0,1023.7166666666667,149.0,246.0,107.0,163.0,8.0,16.0,633.3,131.0,251.0,382.0,39.0,132.0,36.0,52.0,40.0,0.6056910569105691,0.656441717791411
256,Andre,Iguodala,142.0,740.4666666666667,53.0,142.0,17.0,23.0,19.0,84.0,889.9,26.0,97.0,123.0,141.0,53.0,31.0,37.0,24.0,0.3732394366197183,0.7391304347826086
260,Brandon,Ingram,1479.0,2199.5833333333335,539.0,1150.0,316.0,383.0,85.0,256.0,2019.3,40.0,329.0,369.0,357.0,138.0,40.0,182.0,27.0,0.46869565217391307,0.825065274151436
264,Reggie,Jackson,1339.0,2465.3333333333335,506.0,1286.0,148.0,176.0,179.0,540.0,2623.8,41.0,250.0,291.0,376.0,167.0,58.0,182.0,16.0,0.39346811819595645,0.8409090909090909
265,LeBron,James,1694.0,2117.9666666666667,646.0,1242.0,245.0,323.0,157.0,452.0,1982.5,62.0,401.0,463.0,359.0,125.0,79.0,205.0,60.0,0.5201288244766505,0.7585139318885449
276,Stanley,Johnson,333.0,1133.5833333333333,121.0,263.0,55.0,76.0,36.0,112.0,1370.0,35.0,130.0,165.0,83.0,117.0,43.0,37.0,14.0,0.4600760456273764,0.7236842105263158
281,Damian,Jones,458.0,1037.1833333333334,177.0,269.0,94.0,131.0,10.0,30.0,850.0,76.0,173.0,249.0,72.0,134.0,26.0,60.0,47.0,0.6579925650557621,0.7175572519083969
283,Derrick,Jones Jr.,317.0,984.35,117.0,221.0,60.0,75.0,23.0,75.0,1238.3,65.0,116.0,181.0,35.0,116.0,26.0,33.0,33.0,0.5294117647058824,0.8
285,Tyus,Jones,781.0,1907.8999999999999,302.0,681.0,73.0,86.0,104.0,267.0,3037.3,23.0,207.0,230.0,389.0,46.0,85.0,64.0,5.0,0.4434654919236417,0.8488372093023255
286,DeAndre,Jordan,256.0,743.0833333333334,113.0,168.0,30.0,53.0,0.0,0.0,0.0,89.0,218.0,307.0,26.0,85.0,15.0,42.0,43.0,0.6726190476190477,0.5660377358490566
297,Brandon,Knight,47.0,89.43333333333334,16.0,41.0,8.0,8.0,7.0,28.0,122.6,0.0,10.0,10.0,10.0,6.0,1.0,9.0,0.0,0.3902439024390244,1.0
303,Jeremy,Lamb,446.0,994.8666666666667,145.0,372.0,99.0,116.0,57.0,181.0,1767.2,27.0,140.0,167.0,86.0,64.0,31.0,38.0,24.0,0.3897849462365591,0.853448275862069
308,Zach,LaVine,1814.0,2607.2166666666667,628.0,1316.0,351.0,409.0,207.0,524.0,2949.8,23.0,323.0,346.0,343.0,132.0,49.0,196.0,26.0,0.47720364741641336,0.8581907090464548
310,Jake,Layman,102.0,274.05,38.0,86.0,16.0,22.0,10.0,41.0,703.3,6.0,37.0,43.0,10.0,16.0,10.0,11.0,6.0,0.4418604651162791,0.7272727272727273
314,Kawhi,Leonard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
317,Caris,LeVert,1014.0,1860.1333333333334,388.0,879.0,151.0,198.0,87.0,267.0,1894.1,43.0,180.0,223.0,260.0,138.0,55.0,111.0,23.0,0.44141069397042093,0.7626262626262627
322,Kevon,Looney,633.0,2275.2,273.0,466.0,87.0,147.0,0.0,1.0,0.0,278.0,513.0,791.0,223.0,277.0,65.0,90.0,65.0,0.5858369098712446,0.5918367346938775
323,Brook,Lopez,329.0,721.0166666666667,128.0,270.0,44.0,50.0,29.0,94.0,652.7,50.0,92.0,142.0,15.0,75.0,16.0,27.0,44.0,0.4740740740740741,0.88
325,Robin,Lopez,258.0,656.2,112.0,209.0,32.0,54.0,2.0,7.0,200.0,70.0,63.0,133.0,58.0,68.0,2.0,47.0,22.0,0.5358851674641149,0.5925925925925926
327,Kyle,Lowry,948.0,2516.1,309.0,739.0,168.0,200.0,162.0,452.0,2646.5,39.0,293.0,332.0,545.0,216.0,88.0,197.0,25.0,0.4181326116373478,0.84
341,Wesley,Matthews,323.0,1346.5333333333333,112.0,284.0,28.0,37.0,71.0,202.0,1904.0,39.0,90.0,129.0,50.0,114.0,32.0,24.0,11.0,0.39436619718309857,0.7567567567567568
347,CJ,McCollum,1602.0,2524.8166666666666,625.0,1382.0,141.0,205.0,211.0,554.0,2666.3,65.0,256.0,321.0,364.0,145.0,77.0,153.0,29.0,0.45224312590448623,0.6878048780487804
348,T.J.,McConnell,248.0,735.8,107.0,231.0,21.0,25.0,13.0,41.0,584.6,28.0,78.0,106.0,151.0,58.0,39.0,36.0,11.0,0.46320346320346323,0.84
351,Doug,McDermott,626.0,1328.4166666666667,232.0,505.0,45.0,56.0,117.0,277.0,2040.8,22.0,104.0,126.0,73.0,92.0,14.0,46.0,7.0,0.4594059405940594,0.8035714285714286
354,Rodney,McGruder,280.0,788.7333333333333,101.0,234.0,19.0,26.0,59.0,148.0,1402.9,33.0,83.0,116.0,49.0,59.0,22.0,26.0,7.0,0.43162393162393164,0.7307692307692307
355,Ben,McLemore,660.0,1345.4166666666667,218.0,551.0,72.0,88.0,152.0,426.0,2178.0,13.0,94.0,107.0,63.0,104.0,40.0,65.0,11.0,0.3956442831215971,0.8181818181818182
361,Khris,Middleton,1398.0,2275.633333333333,478.0,1074.0,268.0,300.0,174.0,459.0,2661.5,45.0,334.0,379.0,379.0,172.0,80.0,206.0,19.0,0.4450651769087523,0.8933333333333333
366,Paul,Millsap,141.0,439.45,56.0,140.0,17.0,25.0,12.0,44.0,474.9,48.0,91.0,139.0,37.0,75.0,14.0,27.0,16.0,0.4,0.68
369,Greg,Monroe,80.0,201.93333333333334,34.0,62.0,12.0,23.0,0.0,0.0,0.0,31.0,35.0,66.0,23.0,25.0,10.0,13.0,10.0,0.5483870967741935,0.5217391304347826
371,E'Twaun,Moore,26.0,61.61666666666667,10.0,22.0,2.0,2.0,4.0,8.0,150.0,4.0,7.0,11.0,4.0,5.0,2.0,4.0,0.0,0.45454545454545453,1.0
373,Marcus,Morris Sr.,869.0,1637.8333333333333,314.0,722.0,135.0,156.0,106.0,290.0,1812.2,29.0,219.0,248.0,119.0,120.0,28.0,71.0,18.0,0.43490304709141275,0.8653846153846154
374,Markieff,Morris,167.0,396.9,69.0,149.0,15.0,19.0,14.0,48.0,524.9,25.0,45.0,70.0,29.0,40.0,9.0,26.0,3.0,0.46308724832214765,0.7894736842105263
382,Dejounte,Murray,1539.0,2530.7833333333333,613.0,1321.0,209.0,260.0,104.0,317.0,2107.5,86.0,513.0,599.0,654.0,148.0,143.0,190.0,26.0,0.4640423921271764,0.8038461538461539
384,Mike,Muscala,375.0,639.75,124.0,272.0,53.0,63.0,74.0,175.0,1901.3,23.0,115.0,138.0,23.0,60.0,19.0,14.0,27.0,0.45588235294117646,0.8412698412698413
385,Larry,Nance Jr.,397.0,1262.95,161.0,303.0,50.0,72.0,25.0,83.0,1191.5,100.0,217.0,317.0,99.0,107.0,50.0,47.0,24.0,0.5313531353135313,0.6944444444444444
391,Georges,Niang,792.0,2014.3,279.0,641.0,55.0,63.0,179.0,447.0,3690.1,31.0,199.0,230.0,122.0,232.0,39.0,68.0,15.0,0.43525741029641185,0.873015873015873
394,Nerlens,Noel,85.0,561.95,32.0,60.0,21.0,30.0,0.0,3.0,0.0,48.0,93.0,141.0,23.0,67.0,29.0,20.0,31.0,0.5333333333333333,0.7
403,Victor,Oladipo,258.0,540.8,85.0,209.0,56.0,72.0,32.0,98.0,635.3,7.0,67.0,74.0,59.0,42.0,24.0,41.0,5.0,0.40669856459330145,0.7777777777777778
407,Kelly,Oubre Jr.,1145.0,2028.5666666666666,413.0,943.0,127.0,191.0,192.0,560.0,2352.3,79.0,228.0,307.0,84.0,192.0,77.0,68.0,35.0,0.43796394485683987,0.6649214659685864
415,Chris,Paul,1209.0,2633.6833333333334,460.0,911.0,204.0,239.0,85.0,256.0,2526.0,29.0,312.0,341.0,826.0,180.0,142.0,189.0,22.0,0.5049396267837541,0.8535564853556485
417,Cameron,Payne,715.0,1541.0333333333333,276.0,702.0,85.0,100.0,78.0,256.0,2370.3,31.0,176.0,207.0,332.0,148.0,51.0,124.0,18.0,0.39316239316239315,0.85
418,Elfrid,Payton,181.0,627.5666666666666,81.0,200.0,14.0,34.0,5.0,20.0,350.0,23.0,77.0,100.0,117.0,41.0,33.0,52.0,8.0,0.405,0.4117647058823529
426,Mason,Plumlee,484.0,1842.9333333333334,208.0,324.0,68.0,173.0,0.0,2.0,0.0,183.0,399.0,582.0,233.0,230.0,61.0,107.0,52.0,0.6419753086419753,0.3930635838150289
430,Otto,Porter Jr.,682.0,1860.2833333333333,251.0,533.0,65.0,82.0,115.0,292.0,2778.4,101.0,351.0,452.0,137.0,123.0,89.0,51.0,37.0,0.4709193245778612,0.7926829268292683
431,Bobby,Portis,1179.0,2325.5333333333333,465.0,986.0,102.0,135.0,147.0,385.0,2825.0,206.0,572.0,778.0,95.0,200.0,58.0,106.0,54.0,0.4716024340770791,0.7555555555555555
434,Norman,Powell,925.0,1572.8,305.0,666.0,201.0,250.0,114.0,275.0,2114.3,21.0,139.0,160.0,98.0,116.0,44.0,77.0,22.0,0.45795795795795796,0.804
437,Taurean,Prince,566.0,1316.65,200.0,447.0,68.0,89.0,98.0,263.0,2502.2,28.0,166.0,194.0,78.0,125.0,53.0,58.0,24.0,0.44742729306487694,0.7640449438202247
441,Julius,Randle,1517.0,2641.733333333333,536.0,1295.0,318.0,421.0,127.0,408.0,1978.9,130.0,617.0,747.0,379.0,211.0,56.0,251.0,40.0,0.4138996138996139,0.7553444180522565
446,Josh,Richardson,699.0,1695.8333333333333,246.0,565.0,101.0,114.0,106.0,260.0,2572.3,43.0,152.0,195.0,122.0,122.0,60.0,68.0,31.0,0.4353982300884956,0.8859649122807017
447,Malachi,Richardson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
448,Austin,Rivers,440.0,1674.9833333333333,159.0,385.0,37.0,54.0,85.0,252.0,2285.6,21.0,104.0,125.0,100.0,141.0,61.0,65.0,7.0,0.412987012987013,0.6851851851851852
455,Rajon,Rondo,205.0,825.2166666666667,76.0,198.0,19.0,26.0,34.0,99.0,1146.7,15.0,122.0,137.0,199.0,67.0,31.0,85.0,6.0,0.3838383838383838,0.7307692307692307
456,Derrick,Rose,376.0,735.8333333333334,145.0,320.0,41.0,42.0,45.0,106.0,1082.3,23.0,68.0,91.0,125.0,18.0,27.0,43.0,12.0,0.453125,0.9761904761904762
457,Terrence,Ross,670.0,1522.8833333333332,236.0,589.0,117.0,136.0,81.0,275.0,1791.7,21.0,146.0,167.0,125.0,73.0,32.0,78.0,14.0,0.400679117147708,0.8602941176470589
458,Terry,Rozier,1461.0,2539.15,535.0,1207.0,161.0,189.0,230.0,614.0,2712.4,58.0,262.0,320.0,338.0,124.0,94.0,105.0,26.0,0.44324772162386084,0.8518518518518519
486,Marcus,Smart,1198.0,3106.45,417.0,1010.0,196.0,245.0,168.0,502.0,2900.5,63.0,306.0,369.0,549.0,236.0,147.0,215.0,24.0,0.41287128712871285,0.8
488,Ish,Smith,431.0,1190.0166666666667,195.0,456.0,16.0,29.0,25.0,68.0,1274.9,28.0,121.0,149.0,254.0,83.0,52.0,86.0,24.0,0.4276315789473684,0.5517241379310345
492,Tony,Snell,187.0,826.2333333333333,69.0,172.0,4.0,4.0,45.0,129.0,1395.8,16.0,88.0,104.0,29.0,72.0,16.0,19.0,9.0,0.4011627906976744,1.0
497,Lance,Stephenson,384.0,813.9,147.0,323.0,63.0,80.0,27.0,90.0,924.9,12.0,115.0,127.0,165.0,96.0,24.0,72.0,4.0,0.4551083591331269,0.7875
507,Garrett,Temple,324.0,1163.6833333333334,118.0,318.0,28.0,41.0,60.0,195.0,1675.0,33.0,122.0,155.0,75.0,84.0,43.0,49.0,24.0,0.3710691823899371,0.6829268292682927
510,Isaiah,Thomas,187.0,339.1666666666667,68.0,171.0,22.0,26.0,29.0,84.0,786.5,6.0,25.0,31.0,35.0,35.0,7.0,16.0,5.0,0.39766081871345027,0.8461538461538461
514,Klay,Thompson,1071.0,1732.55,404.0,941.0,72.0,81.0,191.0,496.0,1979.8,22.0,189.0,211.0,138.0,101.0,40.0,71.0,32.0,0.4293304994686504,0.8888888888888888
519,Karl-Anthony,Towns,2029.0,2826.2,710.0,1352.0,444.0,536.0,165.0,412.0,3263.5,218.0,614.0,832.0,304.0,309.0,81.0,266.0,98.0,0.5251479289940828,0.8283582089552238
520,P.J.,Tucker,691.0,2503.5833333333335,264.0,544.0,56.0,77.0,107.0,250.0,3404.2,138.0,350.0,488.0,182.0,210.0,74.0,81.0,21.0,0.4852941176470588,0.7272727272727273
522,Myles,Turner,584.0,1321.0666666666666,215.0,428.0,89.0,117.0,65.0,200.0,1368.8,69.0,248.0,317.0,48.0,126.0,30.0,62.0,122.0,0.5023364485981309,0.7606837606837606
527,Fred,VanVleet,1431.0,2709.366666666667,482.0,1199.0,200.0,231.0,267.0,709.0,2796.6,47.0,269.0,316.0,482.0,179.0,122.0,180.0,41.0,0.40200166805671395,0.8658008658008658
538,Kemba,Walker,461.0,1009.1,160.0,398.0,63.0,74.0,78.0,216.0,1181.1,14.0,107.0,121.0,145.0,41.0,28.0,51.0,7.0,0.4020100502512563,0.8513513513513513
539,John,Wall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
