id,firstname,lastname,college,affiliation,date,country,start,pro,pounds,jersey,active,pos,height(in)
883,Marquis,Teague,Kentucky,Kentucky/USA,1993-02-28,USA,2012,3,189,20,True,G,74
887,Sindarius,Thornwell,South Carolina,South Carolina/USA,1994-11-15,USA,2017,4,215,15,True,G,76
892,Ekpe,Udoh,Baylor,Baylor/USA,1987-05-20,USA,2010,7,245,33,True,C-F,82
893,Tyrone,Wallace,California,California/USA,1994-06-10,USA,2017,3,198,6,True,G,77
894,Derrick,Walton Jr.,Michigan,Michigan/USA,1995-04-03,USA,2017,2,185,10,True,G,72
897,Derrick,White,Colorado,Colorado/USA,1994-07-02,USA,2017,4,190,9,True,G,76
926,Grayson,Allen,Duke,Duke/USA,1995-10-08,USA,2018,3,198,7,True,G,76
931,Marvin,Bagley III,Duke,Duke/USA,1999-03-14,USA,2018,3,235,35,True,F,83
932,Mo,Bamba,Texas,Texas/USA,1998-05-12,USA,2018,3,231,11,True,C,84
934,Keita,Bates-Diop,Ohio State,Ohio State/USA,1996-01-23,USA,2018,3,229,31,True,F,80
936,Jaron,Blossomgame,Clemson,Clemson/USA,1993-09-16,USA,2018,1,220,7,True,F,79
940,Mikal,Bridges,Villanova,Villanova/USA,1996-08-30,USA,2018,3,209,25,True,F,78
944,Bruce,Brown,Miami,Miami/USA,1996-08-15,USA,2018,3,202,11,True,G-F,76
945,Troy,Brown Jr.,Oregon,Oregon/USA,1999-07-28,USA,2018,3,215,7,True,G-F,78
946,Jalen,Brunson,Villanova,Villanova/USA,1996-08-31,USA,2018,3,190,11,True,G,73
947,Deonte,Burton,Iowa State,Iowa State/USA,1994-01-31,USA,0,2,240,30,True,G-F,76
949,Jevon,Carter,West Virginia,West Virginia/USA,1995-09-14,USA,2018,3,200,5,True,G,73
950,Wendell,Carter Jr.,Duke,Duke/USA,1999-04-16,USA,2018,3,270,34,True,C-F,82
953,Gary,Clark,Cincinnati,Cincinnati/USA,1994-11-16,USA,2018,3,225,12,True,F,78
954,Bonzie,Colson,Notre Dame,Notre Dame/USA,1996-01-12,USA,2018,1,225,50,True,F,78
959,Marcus,Derrickson,Georgetown,Georgetown University/USA,1996-02-01,USA,2018,1,250,32,True,F,79
960,Hamidou,Diallo,Kentucky,Kentucky/USA,1998-07-31,USA,2018,3,202,6,True,G,77
967,Jacob,Evans,Cincinnati,Cincinnati/USA,1997-06-18,USA,0,2,210,44,True,G-F,76
969,Melvin,Frazier Jr.,Tulane,Tulane/USA,1996-08-30,USA,2018,2,215,6,True,G-F,77
973,Devonte',Graham,Kansas,Kansas/USA,1995-02-22,USA,2018,3,195,4,True,G,73
979,Aaron,Holiday,UCLA,UCLA/USA,1996-09-30,USA,2018,3,185,4,True,G,72
980,Kevin,Huerter,Maryland,Maryland/USA,1998-08-27,USA,2018,3,198,9,True,G-F,79
982,Jaren,Jackson Jr.,Michigan State,Michigan State/USA,1999-09-15,USA,2018,3,242,13,True,F-C,83
986,George,King,Colorado Boulder,Colorado Boulder/USA,1994-01-15,USA,2018,1,220,8,True,F-G,78
987,Kevin,Knox II,Kentucky,Kentucky/USA,1999-08-11,USA,2018,3,215,5,True,F,79
990,Jordan,Loyd,Indianapolis,Indianapolis/USA,1993-07-27,USA,2018,1,210,8,True,G,76
995,Yante,Maten,Georgia,Georgia/USA,1996-08-14,USA,2018,1,240,26,True,F,80
997,Jordan,McLaughlin,Southern California,Southern California/USA,1996-04-09,USA,2019,2,185,6,True,G,71
998,De'Anthony,Melton,Southern California,Southern California/USA,1998-05-28,USA,2018,3,200,8,True,G,74
999,Chimezie,Metu,Southern California,Southern California/USA,1997-03-22,USA,2018,3,225,7,True,F-C,81
1001,Shake,Milton,Southern Methodist,Southern Methodist/USA,1996-09-26,USA,2018,3,205,18,True,G-F,77
1007,Kendrick,Nunn,Oakland,Oakland/USA,1995-08-03,USA,2019,2,190,12,True,G,74
1008,James,Nunnally,California-Santa Barbara,California-Santa Barbara/USA,1990-07-14,USA,2013,3,205,21,True,F,79
1011,Cameron,Oliver,Nevada,Nevada/USA,1996-07-11,USA,2020,1,239,21,True,F,80
1013,Theo,Pinson,North Carolina,North Carolina/USA,1995-11-05,USA,2018,3,212,1,True,G-F,77
1014,Michael,Porter Jr.,Missouri,Missouri/USA,1998-06-29,USA,2019,2,218,1,True,F,82
1015,Billy,Preston,University of Kansas,University of Kansas/USA,1997-10-26,USA,0,0,240,20,True,F,82
1018,Duncan,Robinson,Michigan,Michigan/USA,1994-04-22,USA,2018,3,215,55,True,F,79
1020,Mitchell,Robinson,Western Kentucky,Western Kentucky/USA,1998-04-01,USA,2018,3,240,23,True,C-F,84
1021,Collin,Sexton,Alabama,Alabama/USA,1999-01-04,USA,2018,3,190,2,True,G,73
1022,Landry,Shamet,Wichita State,Wichita State/USA,1997-03-13,USA,2018,3,190,14,True,G,76
1023,Anfernee,Simons,Edgewater HS (FL),Edgewater HS (FL)/USA,1999-06-08,USA,2018,3,181,1,True,G,75
1025,Zhaire,Smith,Texas Tech,Texas Tech/USA,1999-06-04,USA,2018,2,205,5,True,G,75
1032,Emanuel,Terry,Lincoln Memorial,Lincoln Memorial/USA,1996-08-21,USA,2018,1,220,10,True,F,81
1033,Khyri,Thomas,Creighton,Creighton/USA,1996-05-08,USA,2018,3,210,13,True,G,75
1036,Jarred,Vanderbilt,Kentucky,Kentucky/USA,1999-04-03,USA,2018,3,214,8,True,F,81
1038,Lonnie,Walker IV,Miami,Miami/USA,1998-12-14,USA,2018,3,204,4,True,G-F,76
1043,Johnathan,Williams,Gonzaga,Gonzaga/USA,1995-05-22,USA,0,2,228,19,True,F,81
1044,Kenrich,Williams,TCU,TCU/USA,1994-12-02,USA,2018,3,210,34,True,G-F,78
1045,Robert,Williams III,Texas A&M,Texas A&M/USA,1997-10-17,USA,2018,3,237,44,True,C-F,81
1046,Trae,Young,Oklahoma,Oklahoma/USA,1998-09-19,USA,2018,3,164,11,True,G,73
1055,Amida,Brimah,Connecticut,Connecticut/USA,1994-02-11,USA,2020,1,230,37,True,C,82
1056,Brian,Bowen II,Sydney Kings,Sydney Kings/USA,1998-10-02,USA,2019,2,190,10,True,F-G,78
1057,Malik,Newman,Kansas,Kansas/USA,1997-02-21,USA,2019,1,190,14,True,G,75
1058,Gary,Trent Jr.,Duke,Duke/USA,1999-01-18,USA,2018,3,209,33,True,G-F,77
1067,BJ,Johnson,La Salle,La Salle/USA,1995-12-21,USA,2018,2,200,20,True,F,78
1069,Chris,Chiozza,Florida,Florida/USA,1995-11-21,USA,2018,3,175,2,True,G,71
1071,Kaiser,Gates,Xavier,Xavier/USA,1996-11-08,USA,0,0,225,30,True,F,79
1336,Chance,Comanche,Arizona,Arizona/USA,1996-04-14,USA,0,0,210,20,True,C,82
1507,Scott,Machado,Iona,Iona/USA,1990-06-08,USA,2012,1,205,10,True,G,73
1572,London,Perrantes,Virginia,Virginia/USA,1994-10-03,USA,2017,1,194,8,True,G,73
1772,Brandon,Sampson,Louisiana State University,Louisiana State University/USA,1997-05-01,USA,2018,1,184,44,True,G,77
1775,Gabe,Vincent,California-Santa Barbara,California-Santa Barbara/USA,1996-06-14,USA,2019,2,200,2,True,G,75
